レースコード,1=2=3,1=2=4,1=2=5,1=2=6,1=3=4,1=3=5,1=3=6,1=4=5,1=4=6,1=5=6,2=3=4,2=3=5,2=3=6,2=4=5,2=4=6,2=5=6,3=4=5,3=4=6,3=5=6,4=5=6
20240623NRT06,1.5,19.9,19.5,3.9,35.3,48.3,8.2,104.8,89.8,95.3,69.9,69.9,14.9,224.6,116.5,85.0,224.6,174.7,165.5,174.7
20240623NRT07,16.9,6.3,45.6,37.2,6.0,17.1,17.7,10.9,4.2,33.2,31.4,103.0,91.3,36.8,23.5,87.3,22.3,11.4,23.0,8.2
20240623NRT08,4.5,3.4,14.8,20.6,6.4,33.9,29.1,27.7,16.1,89.1,7.7,55.8,35.0,28.6,14.5,131.8,47.7,25.7,106.3,40.2
20240623NRT09,4.1,14.4,15.6,5.9,25.9,26.2,13.4,74.6,39.3,27.1,16.3,18.5,6.4,39.8,11.2,17.0,55.9,23.8,25.9,45.4
20240623NRT10,7.8,41.6,26.4,204.6,4.4,2.3,97.8,11.6,112.5,140.6,32.1,13.0,118.4,60.8,102.3,321.5,4.9,70.3,83.3,102.3
20240623NRT11,14.2,4.4,31.7,44.7,3.0,19.3,44.7,4.7,15.8,72.1,18.8,58.0,91.2,30.4,43.0,172.0,14.0,27.9,111.8,30.2
20240623NRT12,7.3,4.6,3.1,24.0,14.6,11.7,55.4,6.3,32.3,22.8,41.8,34.3,93.6,19.1,63.1,64.6,69.6,37.2,135.8,48.5
20240623KJM01,8.6,12.0,3.9,81.2,16.0,4.4,59.5,3.7,39.6,17.0,74.0,17.5,119.0,23.9,151.4,90.0,27.7,144.8,87.6,37.8
20240623KJM02,7.8,17.2,7.4,2.7,29.6,37.4,18.4,48.2,23.7,11.3,54.1,32.8,12.1,54.1,19.2,7.3,121.4,71.5,60.7,78.6
20240623KJM03,12.8,18.5,13.8,6.2,39.9,37.3,17.7,47.7,28.4,17.3,25.7,16.1,6.2,32.8,12.1,5.7,43.6,17.4,14.1,20.6
20240623KJM04,12.2,5.2,42.6,4.6,17.8,66.8,12.7,46.9,5.7,32.4,30.1,99.7,17.1,47.6,5.7,29.8,117.8,21.8,74.5,20.1
20240623KJM05,4.7,12.9,25.9,5.8,12.8,31.1,5.6,43.8,16.7,29.2,18.0,36.5,6.5,54.6,19.7,34.2,66.1,24.4,40.5,51.6
20240623KJM06,4.0,21.9,6.2,25.0,24.0,4.2,26.1,37.5,80.6,21.9,22.6,5.3,29.4,35.5,85.6,25.8,33.2,109.6,21.4,92.9
20240623KJM07,2.3,10.3,4.0,15.0,30.4,18.8,60.0,24.7,52.1,31.1,24.1,13.1,33.2,23.1,39.3,23.5,65.5,116.9,108.1,60.9
20240623KJM08,2.1,8.0,25.7,6.5,16.0,52.5,11.6,88.0,52.5,122.2,11.8,29.9,8.4,78.8,26.9,76.7,115.1,55.9,146.0,101.5
20240623KJM09,7.2,18.2,26.3,88.7,2.4,2.4,23.0,18.8,77.2,58.4,64.7,52.0,136.8,95.8,149.7,228.1,18.7,119.7,78.5,149.7
20240623KJM10,8.2,30.1,17.0,33.4,18.2,2.1,14.0,31.4,98.0,12.9,46.3,12.1,43.2,89.1,127.9,39.7,17.1,60.6,8.3,48.2
20240623KJM11,8.7,3.0,11.1,33.4,5.7,23.1,38.8,4.5,16.3,41.0,35.0,71.2,92.5,21.3,63.0,114.4,34.7,62.1,127.8,20.2
20240623KJM12,10.1,6.2,20.7,63.8,2.5,9.3,41.2,6.3,22.4,47.4,21.6,66.6,111.6,33.0,64.3,172.5,12.6,37.4,101.2,45.1
20240623MYJ01,4.0,5.2,5.2,14.1,4.7,8.3,15.5,12.3,17.0,26.1,86.4,162.0,185.1,152.4,235.6,123.4,172.8,324.0,288.0,172.8
20240623MYJ02,3.7,6.6,42.6,8.3,6.2,50.9,8.5,109.8,14.3,74.5,9.0,69.6,13.9,104.4,18.1,139.2,87.0,10.8,208.8,174.0
20240623MYJ03,2.1,5.5,37.0,43.6,5.8,24.1,22.3,39.5,37.9,94.3,7.4,33.2,32.4,60.9,44.2,171.9,36.0,28.1,88.5,104.4
20240623MYJ04,10.2,1.5,46.0,10.5,14.8,145.3,69.0,43.1,8.0,172.5,20.6,120.0,65.7,54.1,9.7,125.4,115.0,64.2,120.0,102.2
20240623MYJ05,3.1,3.7,3.6,15.7,13.4,16.1,46.7,14.0,36.0,33.3,75.8,56.3,122.1,37.2,91.5,68.6,95.5,199.8,104.6,73.2
20240623MYJ06,9.7,24.3,3.7,13.7,46.9,28.1,72.4,33.8,51.7,15.6,32.5,6.7,33.3,8.1,22.2,5.5,47.8,97.5,35.2,18.5
20240623MYJ07,2.1,14.5,11.1,141.9,8.2,4.5,63.5,92.8,344.7,268.1,10.0,7.7,109.7,77.8,201.1,141.9,24.3,150.8,96.5,268.1
20240623MYJ08,4.0,8.6,3.8,15.8,13.4,12.9,33.0,24.6,52.4,17.8,16.2,13.8,45.5,29.0,68.9,14.6,47.3,114.9,38.9,46.4
20240623MYJ09,4.6,7.3,27.4,61.2,3.4,5.3,50.8,6.4,57.3,99.7,14.7,59.8,134.6,74.8,179.5,149.6,10.0,65.6,134.6,89.7
20240623MYJ10,4.2,13.7,25.0,6.9,4.1,20.6,3.3,35.3,14.4,39.6,86.1,82.5,40.4,152.3,82.5,132.0,58.2,55.0,70.7,152.3
20240623MYJ11,8.1,9.7,16.0,20.9,6.8,10.9,11.4,6.1,6.9,27.5,24.1,64.9,34.5,29.6,27.8,160.5,20.8,20.9,71.8,16.8
20240623MYJ12,5.2,5.2,12.5,12.3,5.4,7.9,8.9,8.7,14.3,26.1,52.3,63.0,58.1,109.3,54.6,79.1,50.2,67.6,90.7,84.5
20240623TKY01,1.8,9.3,4.6,81.6,13.1,4.4,112.8,15.7,142.1,95.9,76.7,32.5,191.9,81.6,426.5,274.1,127.9,639.7,383.8,348.9
20240623TKY02,6.9,6.7,43.0,98.6,1.5,14.5,87.9,7.7,68.5,144.4,22.5,122.5,449.4,65.2,252.7,505.5,18.9,212.8,311.1,144.4
20240623TKY03,2.1,6.8,80.2,5.0,17.9,96.2,9.8,132.3,28.3,220.6,10.7,103.8,9.6,203.6,23.5,441.3,240.7,29.9,240.7,278.7
20240623TKY04,3.7,2.5,21.4,58.2,3.8,23.3,64.9,19.6,53.5,90.0,9.6,45.5,136.6,38.4,116.5,233.1,38.1,141.5,233.1,172.3
20240623TKY05,5.3,17.9,5.6,50.1,7.2,2.7,32.0,8.9,88.6,30.2,70.9,17.1,84.4,69.9,332.3,88.6,19.1,241.7,45.8,147.7
20240623TKY06,14.7,20.2,16.3,74.9,4.8,1.9,48.0,5.2,93.7,43.0,93.7,61.4,312.3,101.3,267.7,288.3,10.2,120.9,52.0,72.0
20240623TKY07,7.0,3.0,6.5,95.5,6.4,8.4,114.6,4.1,61.4,90.5,29.4,78.1,229.3,20.1,163.8,491.4,41.4,312.7,344.0,74.7
20240623TKY08,欠場,欠場,欠場,欠場,6.5,1.8,18.3,4.4,26.0,8.2,欠場,欠場,欠場,欠場,欠場,欠場,12.0,56.2,21.5,23.9
20240623TKY09,3.9,3.6,20.9,6.8,9.3,16.7,11.3,21.1,14.9,32.3,23.2,71.1,45.0,39.9,24.6,75.6,84.6,72.5,77.2,60.2
20240623TKY10,1.9,6.3,9.1,23.9,6.9,7.8,19.3,35.1,41.9,51.5,30.2,52.1,122.5,87.2,122.5,215.9,74.3,197.1,161.9,251.9
20240623TKY11,2.1,5.5,9.3,11.4,7.2,10.6,12.6,24.7,28.6,35.3,75.9,70.7,88.8,130.5,101.8,189.8,298.3,208.8,189.8,596.6
20240623TKY12,2.4,7.0,8.4,10.6,9.0,7.1,10.4,21.2,22.8,20.6,66.7,65.2,65.9,136.7,112.1,136.7,180.8,233.6,130.4,180.8
20240623SMS01,12.2,3.3,36.2,16.6,5.1,59.6,17.5,12.5,4.1,55.6,28.2,128.4,72.5,42.8,14.5,128.4,92.7,21.4,238.5,25.6
20240623SMS02,9.6,10.6,24.6,6.6,13.9,18.0,9.4,22.8,6.0,17.2,31.9,54.0,29.9,42.3,12.2,38.9,30.4,12.3,28.6,12.5
20240623SMS03,26.2,6.8,7.9,53.2,44.9,39.6,96.3,14.6,45.9,28.0,13.3,15.9,38.1,2.7,11.1,12.8,26.6,53.2,59.4,16.9
20240623SMS04,10.0,5.6,15.6,52.0,5.5,12.3,45.8,3.6,23.6,48.7,16.9,44.1,68.8,16.6,47.7,90.0,11.5,57.0,106.3,19.0
20240623SMS05,3.9,5.5,14.3,83.3,2.6,6.5,33.8,9.9,42.2,118.5,29.6,79.0,192.7,53.1,171.2,205.5,40.5,99.4,256.9,162.2
20240623SMS06,5.2,15.1,25.7,230.0,1.8,3.2,52.4,13.2,230.0,199.3,43.9,119.6,166.1,130.0,230.0,598.0,33.5,135.9,427.1,498.3
20240623SMS07,19.9,35.6,15.0,6.2,35.1,9.9,4.1,25.6,9.6,3.3,84.3,98.6,61.0,118.8,55.8,33.8,107.8,53.2,17.6,24.5
20240623SMS08,7.2,2.5,16.4,46.7,3.8,15.5,77.9,4.5,25.6,87.7,45.5,100.2,175.4,53.1,94.8,501.2,54.8,206.3,438.5,77.9
20240623SMS09,6.4,19.4,7.3,64.2,13.2,1.8,17.5,16.5,68.1,17.2,78.7,29.4,143.2,99.7,169.3,186.2,32.3,114.0,27.8,96.3
20240623SMS10,6.9,11.3,32.2,54.3,2.3,6.3,15.1,8.4,18.3,60.5,36.2,78.1,113.7,84.3,144.3,174.5,14.1,22.9,76.5,51.4
20240623SMS11,4.0,11.0,欠場,30.3,2.0,欠場,11.8,欠場,20.2,欠場,5.9,欠場,24.6,欠場,44.5,欠場,欠場,8.7,欠場,欠場
20240623SMS12,6.0,6.5,15.1,29.9,4.7,6.5,20.8,6.9,15.5,24.3,28.7,45.1,103.5,42.1,77.0,98.6,17.8,47.8,37.8,27.4
20240623ASY01,4.0,3.3,28.2,9.2,3.8,23.3,10.3,28.2,8.1,46.9,112.0,192.1,144.1,201.7,82.3,288.2,155.1,115.2,269.0,175.4
20240623ASY02,11.0,3.5,149.1,21.0,3.0,60.5,7.6,45.8,4.3,101.8,33.1,348.0,73.2,261.0,53.5,464.0,99.4,12.9,174.0,112.8
20240623ASY03,4.6,11.2,12.0,42.4,4.1,3.7,16.7,16.2,39.0,36.4,39.4,27.1,48.8,69.7,105.5,65.0,21.9,47.6,26.2,81.3
20240623ASY04,5.5,3.8,12.2,78.6,2.8,9.8,65.9,4.6,101.6,187.6,42.0,106.0,143.4,78.6,609.7,487.8,31.6,348.4,304.8,110.8
20240623ASY05,11.0,12.7,9.0,14.2,9.2,5.8,8.5,6.3,9.3,4.3,149.7,212.8,183.8,155.5,224.6,94.0,98.6,134.8,74.8,38.1
20240623ASY06,10.8,19.2,3.9,22.7,20.3,4.2,27.5,15.2,44.3,12.9,32.9,10.4,43.9,35.1,86.2,22.9,17.2,29.0,18.6,36.7
20240623ASY07,3.4,6.3,13.2,66.4,4.5,8.6,56.2,11.5,41.1,182.7,10.2,23.5,85.9,28.1,132.8,208.8,10.9,58.4,116.9,139.2
20240623ASY08,9.3,11.3,26.1,43.0,5.0,22.6,19.7,22.2,15.2,61.5,6.6,27.7,13.2,41.1,13.8,91.1,19.2,5.4,47.3,32.4
20240623ASY09,21.1,6.5,4.5,12.3,39.2,20.4,83.0,3.3,18.6,8.9,69.6,68.5,69.6,17.4,33.4,31.0,51.4,116.6,81.4,13.1
