レースコード,レース場,レース回,天気,風向,風速,波の高さ,スタンド距離,枠,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター2連対率,ボート2連対率,展示タイム,順位,結果,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240706TKN07,常滑,07R,晴,右横風,2.0,1.0,40.0,6,56,B2,1.96,0.0,2.0,0.0,42.38,33.33,6.84,5,0,0,-1.5241780595268797,-1.297304578889635,-1.6088522846549007,-1.3622340271479627,1.238578755572076,0.04327056651205467,1.8073922282301214
20240706TKN08,常滑,08R,晴,追い風,1.0,0.0,40.0,6,51,A2,5.29,28.95,5.79,37.5,32.62,33.33,6.8,5,0,0,-0.011481347592267608,-0.42736839373576274,0.6279739765791682,0.4124915865181737,-0.3493564176738874,-0.5038466103716351,0.24077170617154445
20240706TKN09,常滑,09R,晴,右追い風,1.0,0.0,40.0,6,53,A2,6.64,48.74,5.57,57.14,31.06,0.0,6.78,5,0,0,1.0361636487206116,0.9952052392124024,0.2554394644679837,0.9239461380556009,0.1185517386599943,-1.1147449098035205,0.0
20240706TKN10,常滑,10R,晴,追い風,2.0,1.0,40.0,6,54,A1,6.19,42.86,4.36,16.0,34.03,16.67,6.84,3,0,1,0.8882279400248638,0.8097114459507061,0.08565084092066425,-0.42041749695481834,0.9918609156648998,-0.3539676477095543,0.7749130248475884
20240706TKN11,常滑,11R,晴,追い風,2.0,1.0,40.0,6,54,A1,6.48,42.98,4.86,14.29,39.44,0.0,6.84,6,0,0,0.12279296297616683,-0.32255235186421405,-0.7300203991325389,-1.1197668574581656,1.804514688897296,-0.7981746247436429,0.657845792923796
20240706TKN12,常滑,12R,晴,追い風,1.0,0.0,40.0,6,51,A2,5.24,33.9,4.06,22.22,34.75,61.54,6.74,3,0,1,-0.5450725499936607,-0.3970843828797417,-0.9983816305609813,-1.0479989227414477,-0.7963324134076438,1.3841886874176013,-1.4595179007236996
20240706GMG01,蒲郡,01R,曇り,左横風,2.0,1.0,41.3,6,52,B1,5.46,30.77,4.87,29.58,28.33,32.1,6.76,4,0,0,0.6939809896416302,0.10404773603168258,0.3384904584917914,0.34230941978900004,-1.6949899600880212,-0.9471683604297854,-0.24112141108524568
20240706GMG02,蒲郡,02R,晴,左横風,3.0,1.0,41.3,6,52,B1,5.17,29.59,5.46,28.57,39.83,35.86,6.71,4,0,0,-0.052502322920274784,-0.22011492214426417,-0.7468030427207041,-1.002544363805456,0.9843631189257671,0.477581053861252,-1.852484837789246
20240706GMG03,蒲郡,03R,晴,左追い風,1.0,0.0,41.3,6,53,B1,5.24,34.18,5.91,41.18,36.68,38.86,6.78,6,0,0,-0.40873052639015717,-0.16501109807949318,0.5602053764521749,0.6724699100583932,0.597504424959014,1.1014610703843934,-0.4504264318283213
20240706GMG04,蒲郡,04R,晴,左追い風,1.0,0.0,41.3,6,52,A1,7.29,60.95,7.02,53.19,35.38,31.67,6.83,2,0,1,1.6364884286944257,1.5935587078521984,0.894858173561232,1.0090959621627602,-0.3084955188138726,-1.052258034719779,-0.1986145305747431
