レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240722MKN04,1,3,3,1.0,1.0,45.0,2,0,0.200109247822093,0.3651233956936992,-0.155480243122192,-0.1035154135031824,-0.375394270452421,0.8069011834459204,0.4225771273642489
20240722MKN05,1,4,3,1.0,1.0,45.0,0,1,1.1310048001829929,0.8031656471857872,1.3338434221184057,1.0166883680125554,0.2915930144752195,0.4448002603228334,-0.4225353273614445
20240722MKN06,1,5,0,1.0,1.0,45.0,2,0,-0.7288312321570942,-0.4879224978914671,-0.7119861145942092,-0.1675495839208799,1.386866024362581,0.2824163786971069,-0.1295667277219711
20240722MKN07,1,6,3,3.0,3.0,45.0,2,1,0.655090722866895,1.1482116430201756,0.9847970353965934,1.2885306833370451,-0.0603010443569474,-0.6303688275439705,1.3693063937629124
20240722MKN08,1,7,3,1.0,1.0,45.0,2,0,-0.2402053268326767,-0.5417300349846382,-0.0452148679954873,-1.2758800023772787,-0.3822081708458622,1.563317861598658,-0.885614885540124
20240722MKN09,1,8,3,1.0,1.0,45.0,2,0,-0.8191407375353378,-0.5821105934086304,-1.4813912180324929,-1.2346357125225478,0.3088156061589203,-0.1472087268483719,0.0421075960533212
20240722MKN10,1,9,1,1.0,1.0,45.0,2,0,-1.023253445945462,-0.5848061689240237,-1.2410593092034985,-1.050727431133914,-1.1037109984997957,-0.1613267684485209,1.2493502394392508
20240722MKN11,1,10,1,1.0,1.0,45.0,1,0,0.2197428596846979,0.0555367878784581,0.4905321213678199,0.5105293673678339,-0.1101199132554318,-1.335828477767144,0.3227486121839144
20240722MKN12,1,11,1,3.0,3.0,45.0,0,1,0.0505223589261091,0.0746255301033343,0.5134654926470601,0.7384260237909217,-0.0413809033680549,1.4404200456295744,0.4048881650894667
20240722TSU01,17,0,8,1.0,1.0,40.0,2,1,-0.0069762763497767,-0.0823685772493806,0.1771638072618735,0.3105271724222406,-1.586420735744624,1.0557574806433645,0.3685219419917162
