レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240312KJM04,5,3,2,2.0,3.0,43.0,0,1,1.1220607770426403,0.96629139310437,1.189155839566026,1.1943197173825506,-1.324640258041763,0.3771821698051107,0.1203858530857722
20240312KJM05,5,4,0,2.0,3.0,43.0,1,0,-0.0855146934883896,-0.1451007867955869,0.1945606268679537,-0.0528832403048837,-1.877404890090928,-0.3071086466574559,1.0489329895978394
20240312KJM06,5,5,0,3.0,3.0,43.0,2,0,0.2278827976194852,-0.3399560644131384,-1.6522027066933964,-1.0524279919419557,0.7507410731591354,0.5076842793478624,0.6136446160400887
20240312KJM07,5,6,0,3.0,3.0,43.0,2,1,-1.5451877843503845,-1.0993695255364964,-0.1570789609126025,0.0566453075596821,1.5019089522855744,-0.0041120036457163,0.4176345347922809
20240312KJM08,5,7,8,5.0,5.0,43.0,1,0,0.049922403234473,0.3082472241613703,0.4456921419990297,0.5405760943851056,-0.4536087268419563,0.6295785079985167,0.9676412496452252
20240312KJM09,5,8,2,5.0,3.0,43.0,2,1,-0.3141590390172001,-0.362448332569193,-0.3228856255725214,-0.1327481632332715,0.1684153863275406,0.6467011333364411,-0.4416559956201491
20240312KJM10,5,9,8,5.0,5.0,43.0,1,1,-0.2757964365671411,-0.4674028077250904,-0.2273980477362371,-0.1645608004571186,0.8433234386796632,-0.8334581061705895,-0.1385684988684301
20240312KJM11,5,10,8,5.0,5.0,43.0,2,0,-1.0452769931892951,-1.3973732670842132,-0.2259467843251901,-0.4331093928982639,-0.1259185625476335,-1.0809247434645952,0.8777472595071453
20240312KJM12,5,11,2,5.0,5.0,43.0,0,1,0.8246618946379376,0.8060682648776669,0.5138268557718025,0.7274245898170778,0.0122447044947494,0.7359608089522681,-0.7019264419631329
20240312TSU01,17,0,7,0.0,0.0,40.0,2,1,-1.1786691923921482,-1.139796637145166,0.1346747694886735,0.0904686491379968,-1.108058538571644,-1.4508160118548146,-0.6370334553589064
20240312TSU02,17,1,6,1.0,1.0,40.0,1,1,0.7778118072841934,0.9301686196470564,0.945259051109741,0.971067032119079,-0.1126527795239429,1.3709474860876787,-0.6504946968304146
20240312TSU03,17,2,6,2.0,1.0,40.0,0,1,1.1565291972549694,1.1565184816190934,0.1322070264282915,0.3917726118199854,-0.4132766789679599,-1.4505750508491106,-0.6515583641446107
20240312TSU04,17,3,6,2.0,1.0,40.0,2,0,-1.2030936124663458,-1.664996830891644,-1.7403086617507966,-1.2899650425992064,-0.7815369437080895,-1.6454201924830656,1.2930142587563602
20240312TSU05,17,4,6,2.0,1.0,40.0,0,1,0.3151586304341548,0.4353300267459062,0.6517931794956096,0.4591146183000625,0.4734627269045268,1.233630161231961,-0.7428336299615196
20240312TSU06,17,5,6,2.0,1.0,40.0,2,1,0.9272364034695378,1.0630160400654405,1.1616333005980746,0.5296996094866017,0.4435695314621551,-1.2075768424913786,0.2952129350796104
20240312TSU07,17,6,6,1.0,1.0,40.0,0,0,-0.6352505860576709,-0.7625995938007336,1.0098755244299658,1.0145750436202583,-0.2942557235991088,-0.9908784778462002,-0.1976514909674305
20240312TSU08,17,7,6,3.0,2.0,40.0,2,1,-0.0795150828211592,-0.2814582293071679,-0.0122612429470477,-0.3423479809423457,-1.6090049375202868,-1.7095574923624393,1.48656784358516
20240312TSU09,17,8,8,2.0,1.0,40.0,1,0,0.1930660232653493,-0.4226770345403677,-1.9345007678198385,-1.907552119816261,1.1340180768151114,1.5266949357781714,0.5504818825631915
20240312TSU10,17,9,6,2.0,1.0,40.0,2,0,-0.1574747824327279,-0.3567963186346846,-0.6564487483894096,-0.4739948518118107,1.2053512243704971,-0.0240314217776253,-0.4343722427630803
20240312TSU11,17,10,6,4.0,2.0,40.0,0,1,0.586121721885136,0.7365903682318182,1.7002244679407648,1.825468749812363,1.7261560344668183,-0.8148218852753571,0.3265986323711
20240312TSU12,17,11,6,5.0,3.0,40.0,1,1,0.2378540114940728,-0.0113944644671152,0.266114800311322,0.6590909412815484,-1.3757104140602283,0.8691269074066734,0.0895143592549207
20240312GMG01,22,0,8,3.0,1.0,41.3,2,1,-0.8091850481996284,-0.2161340466757782,0.5570569159979132,0.6091277993938194,-0.9524428954835858,1.1223573487474705,1.361432850668784
20240312GMG02,22,1,8,5.0,3.0,41.3,1,0,1.0728644564741443,1.0839689517005822,0.982923776208674,1.0537113114841985,1.6541401451969684,-1.1375081788329409,-0.2564945880212829
20240312GMG03,22,2,8,5.0,3.0,41.3,1,1,1.018208196289987,1.1468432830716646,0.6049106128585364,0.8807556693404374,-0.3381376899969427,-1.2186958443755431,0.1468050548786722
